   1 	     8.6958 
   2 	    17.1643 
   3 	    25.7815 
   4 	    34.4208 
   5 	    42.8575 
   6 	    51.4313 
   7 	    60.1620 
   8 	    68.6510 
   9 	    77.3180 
  10 	    85.9391 
  11 	    94.6652 
  12 	   103.1437 
  13 	   111.7043 
  14 	   120.3881 
  15 	   128.8642 
  16 	   137.5730 
  17 	   145.9764 
  18 	   154.6673 
  19 	   163.3210 
  20 	   171.8526 
  21 	   180.4289 
  22 	   189.1060 
  23 	   197.6927 
  24 	   206.2887 
  25 	   214.8338 
  26 	   223.3689 
  27 	   232.0121 
  28 	   240.5745 
